#Millis,TC1Internal(C),TC1External(C),TC2Internal(C),TC2External(C)
64011,27.62,94.25,27.31,26.75
64116,27.62,94.00,27.31,26.75
64223,27.56,94.00,27.25,26.75
64329,27.62,94.00,27.25,26.75
64436,27.62,94.00,27.25,26.75
64541,27.62,94.25,27.25,26.75
64648,27.62,94.00,27.25,26.75
64754,27.62,94.25,27.25,26.75
64861,27.62,94.00,27.25,26.75
64966,27.62,94.25,27.25,26.75
65073,27.62,94.00,27.25,26.75
65179,27.69,94.25,27.25,26.75
65286,27.62,94.25,27.31,26.75
65391,27.62,94.25,27.25,26.75
65498,27.62,94.25,27.25,26.75
65604,27.62,94.25,27.25,26.75
65711,27.62,94.25,27.25,26.75
65816,27.62,94.25,27.25,26.75
65923,27.62,94.25,27.25,26.75
66029,27.62,94.00,27.31,26.75
66136,27.62,94.25,27.25,26.75
66241,27.62,94.25,27.25,27.00
66348,27.62,94.00,27.25,26.75
66454,27.62,94.00,27.25,26.75
66561,27.62,94.00,27.25,26.75
66666,27.62,94.00,27.25,26.75
66772,27.69,94.00,27.25,26.75
66879,27.56,94.00,27.25,26.75
66985,27.62,94.00,27.31,26.75
67091,27.62,94.00,27.25,26.75
67197,27.62,94.00,27.25,26.75
67304,27.56,94.00,27.25,26.75
67410,27.69,94.00,27.25,26.75
67516,27.62,94.00,27.25,26.75
67622,27.62,94.00,27.25,27.00
67729,27.62,94.00,27.25,26.75
67835,27.62,94.00,27.25,26.75
67941,27.62,94.00,27.25,26.75
68047,27.62,94.00,27.25,26.75
68154,27.62,94.00,27.25,26.75
68260,27.62,94.00,27.25,26.75
68366,27.62,94.00,27.25,27.00
68472,27.62,94.00,27.25,26.75
68579,27.62,94.00,27.25,26.75
68685,27.62,94.00,27.25,27.00
68791,27.62,94.00,27.31,26.75
68897,27.56,94.00,27.25,26.75
69004,27.62,94.00,27.25,26.75
69110,27.62,94.00,27.25,27.00
69216,27.62,94.00,27.25,26.75
69322,27.62,94.00,27.25,26.75
69429,27.62,94.00,27.31,26.75
69535,27.62,94.00,27.25,26.75
69641,27.62,94.00,27.31,27.00
69747,27.62,94.00,27.25,26.75
69854,27.62,93.75,27.25,26.75
69960,27.62,93.75,27.31,27.00
70066,27.62,93.75,27.25,26.75
70172,27.62,93.75,27.25,26.75
70279,27.62,93.75,27.31,27.00
70385,27.62,93.75,27.25,26.75
70491,27.62,93.75,27.25,26.75
70597,27.62,93.75,27.31,26.75
70704,27.62,93.50,27.25,27.00
70810,27.62,93.50,27.31,26.75
70916,27.62,93.50,27.25,26.75
71022,27.62,93.50,27.31,26.75
71129,27.62,93.50,27.25,26.75
71235,27.62,93.50,27.31,26.75
71341,27.62,93.50,27.25,26.75
71447,27.62,93.50,27.25,26.75
71554,27.62,93.50,27.31,27.00
71660,27.62,93.50,27.25,26.75
71766,27.62,93.50,27.25,27.00
71872,27.62,93.25,27.25,26.75
71979,27.62,93.25,27.25,27.00
72085,27.62,93.25,27.25,26.75
72190,27.62,93.25,27.25,26.75
72297,27.62,93.25,27.25,27.00
72403,27.62,93.25,27.25,26.75
72510,27.62,93.25,27.31,27.00
72615,27.62,93.25,27.25,27.00
72722,27.62,93.25,27.25,26.75
72828,27.62,93.25,27.25,26.75
72935,27.62,93.25,27.25,27.00
73040,27.62,93.00,27.25,27.00
73147,27.62,93.00,27.25,26.75
73253,27.62,93.00,27.25,26.75
73360,27.62,93.00,27.25,26.75
73465,27.62,93.00,27.25,27.00
73572,27.62,93.00,27.25,26.75
73678,27.69,93.00,27.25,26.75
73785,27.69,93.25,27.25,26.75
73890,27.62,93.25,27.25,26.75
73997,27.62,93.25,27.25,26.75
74103,27.62,93.25,27.25,26.75
74210,27.62,93.25,27.25,27.00
74315,27.62,93.25,27.25,26.75
74422,27.62,93.25,27.25,26.75
74528,27.62,93.25,27.25,26.75
74635,27.62,93.25,27.25,26.75
74740,27.62,93.50,27.31,26.75
74847,27.62,93.25,27.25,27.00
74953,27.62,93.25,27.25,26.75
75060,27.62,93.25,27.31,26.75
75165,27.62,93.25,27.31,27.00
75272,27.62,93.25,27.25,27.00
75378,27.62,93.50,27.25,26.75
75485,27.62,93.50,27.25,26.75
75590,27.62,93.50,27.25,26.75
75697,27.62,93.50,27.25,26.75
75803,27.62,93.50,27.25,27.00
75910,27.62,93.50,27.25,27.00
76015,27.62,93.50,27.25,26.75
76122,27.62,93.50,27.25,26.75
76228,27.62,93.50,27.25,26.75
76335,27.62,93.50,27.25,26.75
76440,27.62,93.25,27.25,26.75
76547,27.62,93.50,27.25,27.00
76653,27.62,93.50,27.25,27.00
76760,27.62,93.25,27.25,26.75
76865,27.62,93.50,27.25,27.00
76972,27.62,93.50,27.25,26.75
77078,27.62,93.50,27.31,26.75
77185,27.62,93.50,27.25,27.00
77290,27.62,93.50,27.25,26.75
77396,27.62,93.50,27.25,26.75
77503,27.62,93.50,27.25,26.75
77609,27.62,93.50,27.25,26.75
77715,27.62,93.50,27.25,27.00
77821,27.62,93.50,27.25,26.75
77928,27.62,93.50,27.25,26.75
78034,27.62,93.50,27.25,27.00
78140,27.62,93.50,27.25,26.75
78246,27.62,93.50,27.25,26.75
78353,27.62,93.50,27.25,26.75
78459,27.62,93.50,27.25,26.75
78565,27.62,93.50,27.25,26.75
78671,27.69,93.50,27.25,26.75
78778,27.62,93.25,27.25,26.75
78884,27.62,93.25,27.25,26.75
78990,27.62,93.50,27.25,27.00
79096,27.62,93.50,27.25,26.75
79203,27.62,93.50,27.25,26.75
79309,27.62,93.50,27.25,26.75
79415,27.62,93.25,27.25,26.75
79521,27.69,93.50,27.31,26.75
79628,27.62,93.50,27.25,26.75
79734,27.62,93.50,27.25,27.00
